EventID;DateKey;CustomerKey;EventType;Channel
1;2023-09-03;C0687;Repeat;Web
2;2023-08-25;C0784;Repeat;Store
3;2023-10-31;C0359;FirstPurchase;Web
4;2023-12-11;C0555;Repeat;Mobile
5;2022-03-31;C0580;Return;Store
6;2025-08-30;C0767;Churn;Store
7;2023-12-23;C0933;Churn;Web
8;2023-11-04;C0654;Return;Web
9;2024-08-16;C0041;Return;Mobile
10;2025-01-24;C0087;Return;Store
11;2024-10-06;C0841;Return;Store
12;2022-10-17;C0408;Repeat;Store
13;2025-02-16;C0075;Return;Store
14;2022-02-18;C0988;Repeat;Web
15;2023-06-08;C0019;Churn;Mobile
16;2022-09-11;C0979;Repeat;Store
17;2022-05-30;C0780;Return;Mobile
18;2022-11-08;C0815;FirstPurchase;Web
19;2023-10-27;C0610;FirstPurchase;Web
20;2022-07-21;C0140;Repeat;Web
21;2025-10-29;C0131;FirstPurchase;Mobile
22;2025-11-13;C0926;Churn;Mobile
23;2024-02-24;C0186;Repeat;Store
24;2023-10-03;C0367;FirstPurchase;Mobile
25;2023-04-07;C0174;Churn;Mobile
26;2023-02-09;C0179;Repeat;Store
27;2024-10-26;C0867;Repeat;Web
28;2024-04-22;C0527;Repeat;Web
29;2022-02-08;C0811;Repeat;Mobile
30;2024-08-12;C0406;Return;Store
31;2023-10-22;C0265;FirstPurchase;Mobile
32;2024-05-01;C0348;Repeat;Mobile
33;2025-03-21;C0861;Repeat;Web
34;2024-11-30;C0039;FirstPurchase;Store
35;2025-02-16;C0231;FirstPurchase;Mobile
36;2022-11-19;C0487;Churn;Mobile
37;2024-03-16;C0977;FirstPurchase;Mobile
38;2025-06-10;C0324;Repeat;Web
39;2024-11-27;C0057;Return;Web
40;2025-07-31;C0452;FirstPurchase;Mobile
41;2025-06-28;C0263;Return;Store
42;2024-02-17;C0514;Repeat;Web
43;2025-03-21;C0054;FirstPurchase;Mobile
44;2023-01-03;C0421;Return;Web
45;2024-12-30;C0970;Churn;Web
46;2025-05-23;C0978;Churn;Mobile
47;2022-08-03;C0412;Churn;Web
48;2024-07-08;C0059;Churn;Web
49;2024-05-31;C0430;Return;Mobile
50;2022-09-09;C0447;Return;Web
51;2024-12-09;C0419;Return;Mobile
52;2024-04-16;C0867;Return;Mobile
53;2022-12-21;C0883;Churn;Mobile
54;2023-11-20;C0094;Return;Web
55;2024-11-06;C0213;FirstPurchase;Store
56;2024-08-29;C0570;Repeat;Store
57;2025-10-30;C0729;FirstPurchase;Web
58;2025-06-08;C0653;Return;Web
59;2024-05-11;C0839;Return;Mobile
60;2023-10-07;C0902;Churn;Store
61;2024-06-16;C0212;Churn;Store
62;2023-12-03;C0813;Repeat;Web
63;2022-04-09;C0133;Churn;Mobile
64;2024-06-19;C0166;FirstPurchase;Web
65;2023-02-19;C0940;Churn;Web
66;2025-01-09;C0232;Churn;Store
67;2022-08-11;C0025;Repeat;Web
68;2024-01-25;C0850;Return;Store
69;2025-09-15;C0984;Churn;Web
70;2025-09-17;C0399;Return;Store
71;2025-02-15;C0712;FirstPurchase;Store
72;2022-04-25;C0845;Return;Store
73;2022-07-24;C0935;Churn;Store
74;2023-03-17;C0048;Return;Mobile
75;2023-12-13;C0052;FirstPurchase;Store
76;2023-01-10;C0060;Churn;Mobile
77;2025-09-03;C0473;FirstPurchase;Mobile
78;2024-02-06;C0791;Churn;Web
79;2023-01-23;C0453;Repeat;Store
80;2024-08-15;C0820;FirstPurchase;Web
81;2022-10-29;C0854;Churn;Web
82;2024-04-18;C0751;FirstPurchase;Store
83;2024-07-05;C0790;Churn;Store
84;2024-04-07;C0537;Repeat;Web
85;2023-11-16;C0183;Return;Web
86;2022-03-20;C0239;Return;Store
87;2023-04-27;C0064;Repeat;Mobile
88;2023-10-24;C0321;Repeat;Mobile
89;2022-07-12;C0516;Return;Web
90;2022-09-19;C0820;FirstPurchase;Mobile
91;2023-08-18;C0629;Repeat;Web
92;2024-07-11;C0928;Return;Store
93;2022-05-07;C0565;Return;Web
94;2025-04-21;C0538;Return;Mobile
95;2023-11-05;C0612;FirstPurchase;Mobile
96;2025-03-29;C0719;FirstPurchase;Mobile
97;2023-03-27;C0931;Repeat;Store
98;2025-02-07;C0998;FirstPurchase;Store
99;2022-03-21;C0731;FirstPurchase;Store
100;2025-12-17;C0526;FirstPurchase;Mobile
101;2025-06-02;C0418;FirstPurchase;Store
102;2024-04-05;C0572;Repeat;Store
103;2025-06-04;C0665;FirstPurchase;Store
104;2023-02-11;C0566;Repeat;Web
105;2023-04-19;C0767;Repeat;Mobile
106;2025-04-12;C0411;FirstPurchase;Mobile
107;2023-01-26;C0021;FirstPurchase;Mobile
108;2025-02-02;C0944;Repeat;Store
109;2022-03-03;C0547;Repeat;Store
110;2022-01-07;C0692;Repeat;Store
111;2023-06-11;C0454;Return;Web
112;2022-05-05;C0483;FirstPurchase;Web
113;2024-05-03;C0154;Return;Web
114;2025-10-23;C0655;Return;Store
115;2022-11-06;C0005;FirstPurchase;Store
116;2025-12-28;C0986;Churn;Mobile
117;2023-08-30;C0673;Return;Web
118;2023-03-09;C0921;FirstPurchase;Store
119;2024-03-28;C0633;Return;Web
120;2022-09-16;C0721;FirstPurchase;Web
121;2023-03-24;C0948;Repeat;Store
122;2022-09-04;C0684;Return;Web
123;2023-07-12;C0788;Return;Web
124;2024-06-01;C0746;Return;Store
125;2025-12-30;C0312;FirstPurchase;Store
126;2024-11-26;C0322;Churn;Web
127;2024-12-19;C0631;Repeat;Mobile
128;2023-03-08;C0520;Churn;Mobile
129;2023-02-18;C0851;Return;Mobile
130;2025-05-24;C0064;FirstPurchase;Store
131;2024-03-21;C0669;Return;Mobile
132;2022-05-18;C0432;Return;Store
133;2025-09-12;C0890;Churn;Web
134;2024-09-02;C0659;Return;Store
135;2024-10-22;C0649;FirstPurchase;Mobile
136;2024-04-14;C0584;Repeat;Mobile
137;2025-06-03;C0369;Churn;Mobile
138;2025-06-16;C0015;FirstPurchase;Mobile
139;2022-06-23;C0482;Return;Mobile
140;2025-10-28;C0324;Repeat;Web
141;2025-04-07;C0319;Repeat;Web
142;2024-10-24;C0091;Repeat;Web
143;2023-08-22;C0934;FirstPurchase;Web
144;2025-11-16;C0303;Repeat;Store
145;2023-05-27;C0269;FirstPurchase;Mobile
146;2025-02-10;C0480;Churn;Mobile
147;2025-01-30;C0099;FirstPurchase;Web
148;2023-06-01;C0368;Return;Web
149;2022-03-15;C0302;FirstPurchase;Web
150;2023-08-25;C0804;FirstPurchase;Store
151;2025-02-10;C0010;Return;Store
152;2025-01-08;C0439;Churn;Web
153;2023-03-19;C0535;FirstPurchase;Mobile
154;2023-03-18;C0279;Return;Store
155;2023-02-11;C0068;Return;Web
156;2022-11-13;C0940;Churn;Web
157;2024-07-01;C0133;Churn;Web
158;2025-07-31;C0516;Return;Mobile
159;2022-05-26;C0414;Churn;Store
160;2024-03-30;C0105;Return;Mobile
161;2023-07-24;C0948;Churn;Store
162;2023-11-12;C0225;Return;Mobile
163;2023-05-09;C0240;Repeat;Store
