SaleID;DateKey;ProductKey;CustomerKey;StoreKey;PromotionKey;Quantity;Revenue;Cost;Margin
1;2025-02-14;P017;C0912;S016;PR05;3;242;145,52;96,48
2;2024-07-15;P040;C0697;S010;PR09;1;422;321,46;100,54
3;2024-05-17;P013;C0481;S016;PR08;3;470;339,51;130,49
4;2022-01-19;P052;C0650;S014;PR06;4;605;493,69;111,31
5;2023-03-08;P058;C0403;S002;PR03;9;797;467,91;329,09
6;2024-01-10;P096;C0997;S019;PR07;8;203;168,27;34,73
7;2025-10-05;P037;C0835;S011;PR10;4;296;214,5;81,5
8;2022-07-02;P079;C0676;S019;PR06;7;914;601,09;312,91
9;2022-04-23;P076;C0900;S011;PR08;9;587;304,42;282,58
10;2025-04-21;P061;C0587;S014;PR06;2;588;451,47;136,53
11;2023-04-26;P079;C0233;S015;PR10;3;405;324,18;80,82
12;2025-03-15;P034;C0929;S007;PR04;1;512;401,08;110,92
13;2024-04-10;P070;C0284;S015;PR10;8;314;237,85;76,15
14;2025-02-10;P017;C0480;S008;PR07;2;80;67,14;12,86
15;2024-02-02;P020;C0889;S004;PR07;7;704;561,22;142,78
16;2023-04-21;P073;C0767;S018;PR08;7;641;528,67;112,33
17;2024-02-02;P059;C0976;S014;PR02;3;943;712,59;230,41
18;2025-08-19;P069;C0009;S018;PR06;2;165;129,87;35,13
19;2024-08-28;P087;C0715;S004;PR03;3;545;327,66;217,34
20;2024-10-16;P033;C0902;S002;PR08;8;202;148,29;53,71
21;2025-02-15;P078;C0379;S006;PR04;9;334;191,03;142,97
22;2022-06-10;P017;C0817;S011;PR04;8;896;469,72;426,28
23;2023-02-05;P057;C0603;S001;PR02;2;678;476,46;201,54
24;2022-07-17;P083;C0381;S015;PR06;9;763;590,58;172,42
25;2025-07-07;P097;C0844;S012;PR06;6;828;437,98;390,02
26;2023-10-22;P001;C0662;S018;PR01;2;671;378,07;292,93
27;2024-12-06;P013;C0360;S005;PR08;9;679;361,59;317,41
28;2023-02-03;P027;C0176;S011;PR03;5;949;685,14;263,86
29;2022-03-19;P070;C0485;S019;PR01;6;912;481,38;430,62
30;2022-05-04;P059;C0405;S001;PR10;1;55;29,3;25,7
31;2022-03-16;P006;C0033;S017;PR01;2;808;478,71;329,29
32;2022-05-17;P097;C0465;S008;PR01;1;75;44,59;30,41
33;2023-08-25;P094;C0696;S016;PR05;4;998;693,74;304,26
34;2025-11-24;P099;C0157;S011;PR05;2;60;30,68;29,32
35;2024-04-16;P023;C0565;S019;PR01;1;402;287,58;114,42
36;2023-05-15;P010;C0808;S011;PR05;3;188;121,09;66,91
37;2022-05-18;P051;C0202;S015;PR07;4;190;106,89;83,11
38;2022-02-19;P019;C0786;S008;PR05;4;637;464,16;172,84
39;2024-08-30;P051;C0175;S014;PR09;3;758;466,46;291,54
40;2022-09-11;P092;C0244;S001;PR04;2;475;375,07;99,93
41;2023-12-11;P087;C0269;S010;PR09;8;617;522,17;94,83
42;2023-07-17;P068;C0923;S007;PR08;2;510;394,06;115,94
43;2024-01-27;P084;C0446;S018;PR01;5;313;237,89;75,11
44;2025-12-20;P083;C0074;S012;PR04;7;677;422,65;254,35
45;2023-07-01;P042;C0096;S002;PR07;9;283;194,45;88,55
46;2025-08-18;P091;C0873;S018;PR01;3;266;137,9;128,1
47;2024-07-10;P057;C0173;S007;PR08;1;981;740,23;240,77
48;2023-08-04;P098;C0899;S020;PR02;9;167;122,96;44,04
49;2025-10-04;P068;C0406;S012;PR08;1;984;584,76;399,24
50;2022-02-18;P038;C0155;S020;PR04;8;460;316,0;144,0
51;2024-07-05;P062;C0183;S014;PR08;2;381;281,09;99,91
52;2025-01-02;P007;C0323;S010;PR01;7;241;151,53;89,47
53;2023-12-05;P071;C0289;S009;PR05;3;677;510,43;166,57
54;2022-09-18;P050;C0258;S015;PR09;6;127;98,91;28,09
55;2022-12-22;P052;C0587;S020;PR07;6;975;563,78;411,22
56;2025-07-07;P026;C0174;S010;PR03;4;234;141,67;92,33
57;2023-09-30;P026;C0330;S019;PR04;8;776;497,06;278,94
58;2024-01-13;P019;C0231;S019;PR10;5;149;86,79;62,21
59;2025-08-11;P009;C0759;S012;PR07;7;957;738,29;218,71
60;2024-10-06;P061;C0161;S012;PR06;5;595;416,59;178,41
61;2024-07-19;P020;C0186;S009;PR04;4;319;201,94;117,06
62;2023-10-03;P050;C0903;S020;PR03;6;454;229,55;224,45
63;2024-03-02;P080;C0143;S004;PR02;3;888;545,28;342,72
64;2025-08-29;P081;C0282;S001;PR10;6;381;302,05;78,95
65;2023-09-04;P022;C0907;S016;PR09;6;243;184,74;58,26
66;2024-03-19;P013;C0640;S001;PR03;6;596;312,06;283,94
67;2025-04-20;P012;C0678;S013;PR07;3;506;394,94;111,06
68;2023-11-17;P010;C0027;S003;PR01;8;596;335,35;260,65
69;2025-10-19;P065;C0246;S012;PR08;4;393;332,27;60,73
70;2022-07-07;P096;C0487;S009;PR01;2;911;732,44;178,56
71;2024-09-11;P030;C0647;S004;PR02;7;713;584,4;128,6
72;2023-07-02;P008;C0897;S002;PR01;8;127;97,7;29,3
73;2023-12-26;P021;C0202;S009;PR04;4;370;277,05;92,95
74;2024-07-14;P022;C0021;S020;PR02;6;442;258,81;183,19
75;2025-12-02;P018;C0591;S013;PR01;8;411;289,85;121,15
76;2024-05-25;P066;C0670;S014;PR01;5;854;635,16;218,84
77;2023-09-10;P048;C0094;S003;PR02;9;642;385,73;256,27
78;2023-02-18;P044;C0008;S018;PR06;6;95;60,74;34,26
79;2025-09-27;P009;C0472;S009;PR02;6;269;223,66;45,34
80;2025-05-28;P067;C0339;S015;PR02;2;260;167,12;92,88
81;2024-06-21;P054;C0259;S010;PR08;7;245;149,54;95,46
82;2022-06-12;P026;C0055;S017;PR05;9;836;449,37;386,63
83;2025-05-28;P085;C0911;S013;PR08;5;492;304,78;187,22
84;2022-09-27;P094;C0548;S001;PR08;5;695;496,4;198,6
85;2023-09-24;P092;C0006;S011;PR02;5;282;155,58;126,42
86;2024-06-24;P100;C0377;S005;PR07;1;34;24,2;9,8
87;2025-11-24;P026;C0554;S009;PR09;5;360;273,39;86,61
88;2025-04-20;P034;C0050;S007;PR08;8;684;525,92;158,08
89;2022-07-24;P008;C0112;S007;PR09;3;515;435,01;79,99
90;2023-08-05;P010;C0146;S002;PR08;9;460;299,96;160,04
91;2024-04-20;P048;C0230;S019;PR04;9;569;290,96;278,04
92;2025-06-05;P055;C0723;S020;PR10;6;56;44,75;11,25
93;2023-08-19;P054;C0497;S018;PR07;4;653;345,59;307,41
94;2022-09-07;P078;C0306;S010;PR09;4;803;643,67;159,33
95;2024-05-24;P040;C0542;S005;PR09;1;788;665,03;122,97
96;2022-07-15;P015;C0461;S016;PR04;5;194;158,57;35,43
97;2023-11-21;P081;C0807;S005;PR07;5;455;381,02;73,98
98;2024-12-29;P018;C0628;S015;PR06;5;312;158,55;153,45
99;2023-10-01;P096;C0908;S016;PR03;1;320;161,27;158,73
100;2025-11-23;P023;C0226;S004;PR10;1;673;386,04;286,96
101;2023-11-03;P062;C0059;S014;PR06;2;972;757,72;214,28
102;2025-05-11;P046;C0076;S017;PR08;1;693;368,19;324,81
103;2025-03-17;P087;C0428;S017;PR02;8;981;746,82;234,18
104;2024-08-01;P099;C0728;S016;PR03;4;946;477,16;468,84
105;2022-07-18;P039;C0132;S009;PR08;6;358;270,61;87,39
